"Title / Source","Key Points","Year","Link"
"BAE-ViT: An Efficient Multimodal Vision Transformer for Bone Age Estimation","Novel vision transformer integrating image + demographic data; TinyViT architecture for fast deployment; ScoreCAM for interpretability; outperforms CNNs","2024","https://pubmed.ncbi.nlm.nih.gov/39728908/"
"Self-accumulative Vision Transformer for Bone Age Assessment Using Sauvegrain Method","Multi-view, multi-task classification using Vision Transformer; token replay and regional attention bias; MAE 0.11 lower than previous work; 4x fewer parameters","2023","https://arxiv.org/abs/2303.16557"
"A Deep Learning Approach to Pediatric Bone Age Assessment","TDL-BAAM model trained on 15,129 trauma hand radiographs; MAE 11.1 months; outperformed GP-based methods and radiologists; population-specific training","2020","https://pmc.ncbi.nlm.nih.gov/articles/PMC8082327/"
"Bone age estimation with HS-optimized ResNet and YOLO for region detection","Novel DL combining harmony search optimization with ResNet + YOLO for ROI detection; addresses child growth disorders accurately","2025","https://www.sciencedirect.com/science/article/abs/pii/S095741742402027X"
"A ROI Extraction Method for Wrist Imaging Applied in Smart Bone-Age Assessment","YOLO-DCFE combining deformable convolution, coordinate attention, EIoU loss; 99.8% detection accuracy; 16 FPS processing speed; 10,041 image dataset","2024","https://pubmed.ncbi.nlm.nih.gov/37289606/"
"Impact of Ensemble Learning in the Assessment of Skeletal Maturity","Bagging, stacking, voting ensemble methods for bone age; MAE 10.16 months with M5P regression; combines features from different hand parts","2014","https://pubmed.ncbi.nlm.nih.gov/25012476/"
"Pediatric Bone Age Assessment using Deep Learning with Pre-trained Models","Comparative study using VGG-16, InceptionV3, XceptionNet, MobileNet; pre-trained model evaluation for bone age assessment","2022","https://arxiv.org/abs/2207.10169"
"Coarse-to-fine segmentation and ensemble convolutional neural networks","Two-stage automated method with coarse-to-fine hand segmentation + stacking-based ensemble; improved accuracy through cascaded approach","2022","https://www.sciencedirect.com/science/article/abs/pii/S1746809422000544"
"Comparative analysis of deep-learning-based bone age assessment using LCRs","Deep learning with lateral cephalometric radiographs; InceptionResNet-v2 and NasNet-Large models; cervical vertebrae ROI analysis","2024","https://www.jocpd.com/articles/10.22514/jocpd.2024.093"
"Automatic Evaluation of Bone Age Using Hand Radiographs","Custom CNN achieving MAE 4.87 months and R² 0.975; compared VGG16, VGG19, Inception models; specialized architecture outperforms pre-trained","2025","https://pmc.ncbi.nlm.nih.gov/articles/PMC11854906/"
"Leveraging bone age assessment via novel joint knowledge distillation","Hybrid knowledge distillation paradigm mapping different ROIs; addresses complexity of multi-region bone age assessment","2024","https://www.tandfonline.com/doi/full/10.1080/21681163.2024.2360122"
"An intelligent bone age assessment model for Chinese ethnicity","ZH05-DL-ResNet50 hybrid model specifically designed for Chinese population; addresses ethnic variations in bone development","2025","https://www.sciencedirect.com/science/article/abs/pii/S1746809424009108"
"Ensemble Learning with Multiclassifiers on Pediatric Hand Radiographs","Multiple classifier ensemble approach; combines G&P and TW3 methods; addresses multi-classifier fusion for improved accuracy","2020","https://pmc.ncbi.nlm.nih.gov/articles/PMC7609149/"
"Automatic bone age assessment network based on TW3 method","SVTNet hybrid network incorporating visual transformers; carpal region estimation based on TW3 methodology","2024","https://onlinelibrary.wiley.com/doi/10.1002/ima.22990?af=R"
"A real-time automated bone age assessment system","Real-time BAA system using ROI segmentation; focuses on computational efficiency and clinical deployment","2023","https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2023.1073219/full"
"Improvement of Bone Age Assessment Using Deep Learning for Carpal Bone Analysis","Integrates carpal bone analysis to improve BAA accuracy in young children; addresses age-specific challenges in bone age assessment","2023","https://brieflands.com/articles/ijradiology-136311"
"Estimation of bone biological age using machine learning","XGBRegressor, LGBMRegressor, CatBoostRegressor models; MAE 2.1-2.2 months; correlation coefficient 0.93-0.94; uses BMD and fracture risk data","2025","https://journal.eu-jr.eu/engineering/article/view/3656"
"CNNs vs ViT - Medical Image Classification Repository","Code repository comparing CNNs vs Vision Transformers for bone fracture detection and bone age assessment; practical implementation resource","2023","https://github.com/amine0110/CNNs_vs_ViT"
