"Title / Source","Key Points","Year","Link"
"Bone age assessment based on deep neural networks with region extraction and gender-assisted models","Two-stage deep learning pipeline using bone region localization plus gender-assisted classification; achieves low MAE; uses large annotated dataset; automates region detection","2023","https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2023.1142895/full"
"Deep learning-based automated bone age estimation for clinical use","Clinical validation of DL methods for automated bone age with improved accuracy and efficiency over manual reading; also integrates gender info","2024","https://pubmed.ncbi.nlm.nih.gov/39090563/"
"AE-BoNet: A Deep Learning Method for Pediatric Bone Age","CNN-based model for precise pediatric bone age estimation showing strong performance on benchmark datasets","2025","https://pmc.ncbi.nlm.nih.gov/articles/PMC12153479/"
"RSNA Bone Age Dataset","Benchmark dataset with 12,611 hand X-ray images, labeled by bone age and gender; widely used for development and assessment of DL models","2018","https://www.kaggle.com/datasets/kmader/rsna-bone-age"
"Fully Automated Bone Age Assessment on Large-Scale Dataset","Describes preprocessing, segmentation strategies, and deep CNN architectures tested on large datasets with strong results","2020","https://pmc.ncbi.nlm.nih.gov/articles/PMC7072110/"
"An Unsupervised Deep-Learning Method for Bone Age","Introduces an unsupervised convolutional autoencoder approach to encode key regions and cluster bone age; reduces labeling requirement","2022","https://arxiv.org/abs/2206.05641"
"An accurate pediatric bone age prediction model using CNN","Focuses on CNN design improvements, ensemble techniques, and data augmentation to boost model accuracy on pediatric bone age datasets","2024","https://www.e-emj.org/journal/view.php?number=33"
"Report of Clinical Bone Age Assessment using Deep Learning","Overview of DL methods applied for clinical bone age assessment with emphasis on reliability and application in pediatrics","N/A","https://www.biomedicinej.com/cgi/viewcontent.cgi?filename=13&article=1256&context=biomedicine&type=additional"
"RSNA Pediatric Bone Age Challenge (2017)","Community challenge with datasets and leaderboards that spurred advances in bone age DL methods; source of benchmarking and baseline models","2017","https://www.rsna.org/rsnai/ai-image-challenge/rsna-pediatric-bone-age-challenge-2017"
"External validation of deep learning-based bone-age models","Studies validation of DL bone age models on external clinical datasets confirming robustness and generalizability","2022","https://www.nature.com/articles/s41598-022-05282-z"
"Deep focus approach for accurate bone age estimation","Proposes refined image focus techniques and multi-scale feature extraction networks to improve prediction accuracy","2022","https://www.sciencedirect.com/science/article/pii/S1991790222001787"
"Bone Age Assessment Using Various Medical Imaging Modalities and AI","Survey covering various imaging modalities (X-ray, MRI) and AI techniques used in bone age assessment","2025","https://pmc.ncbi.nlm.nih.gov/articles/PMC11817689/"
"Age Estimation from Left-Hand Radiographs with Deep Learning","Approach using CNNs for age regression from left hand X-rays with discussion on preprocessing and augmentation","N/A","https://iieta.org/download/file/fid/67049"
"M-CNN-RF: A hybrid deep learning model for accurate bone age prediction","Combines multi-scale CNNs and random forest regression to improve accuracy over sole CNN based models","2025","https://www.sciencedirect.com/science/article/pii/S1110016825007288"
